Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1578160848.5668726,22.2,981.1,40.0,25.63,980.34,15.83,23.81,981.24,13.33
1578161036.792674,22.1,981.05,0.0,25.35,980.29,15.83,23.63,981.22,13.33
1578161186.8490353,21.84,981.15,50.83,25.31,980.32,15.83,23.61,981.22,13.33
1578161336.7579758,21.63,981.08,50.83,25.3,980.33,15.83,23.49,981.28,13.33
1578161486.7237976,21.54,981.08,0.0,25.09,980.27,20.0,23.47,981.22,13.33
1578161636.7053642,21.45,981.12,0.0,25.07,980.4,36.67,23.46,981.24,13.33
1578161786.6897013,21.42,981.18,0.0,24.86,980.47,36.67,23.44,981.28,13.33
1578161936.7013037,21.38,981.23,0.0,24.67,980.49,36.67,23.42,981.33,0.83
1578162086.6594505,21.35,981.13,0.0,24.67,980.49,36.67,23.42,981.37,0.0
1578162236.6387684,21.32,981.12,0.0,24.48,980.4,36.67,23.43,981.29,0.0
1578162386.6486173,21.31,981.15,0.0,24.44,980.41,35.0,23.42,981.27,0.0
1578162536.6079054,21.3,981.12,0.0,24.44,980.41,35.0,23.42,981.28,0.0
1578162686.5842762,21.3,981.13,0.0,24.25,980.38,0.83,23.42,981.26,0.0
1578162836.5573866,21.3,981.12,0.0,24.25,980.38,0.83,23.42,981.26,0.0
1578162986.5477989,21.31,981.13,0.0,24.09,980.36,0.83,23.42,981.26,0.0
1578163136.5216627,21.31,981.14,0.0,24.0,980.38,0.83,23.43,981.26,0.0
1578163286.5129225,21.31,981.13,0.0,23.93,980.38,0.83,23.45,981.31,0.0
1578163436.4879465,21.32,981.17,0.0,23.84,980.4,0.83,23.46,981.3,0.0
1578163586.4774613,21.33,981.09,0.0,23.79,980.35,0.83,23.47,981.32,0.0
1578163736.5150325,21.34,981.19,0.0,23.74,980.43,0.83,23.5,981.34,0.0
1578163886.4443736,21.35,981.34,0.0,23.76,980.61,0.83,23.5,981.34,0.0
1578164036.4505715,21.37,981.41,0.0,23.74,980.7,0.83,23.51,981.5,0.0
1578164186.4074514,21.36,981.36,0.0,23.74,980.7,0.83,23.51,981.57,0.0
1578164336.3817754,21.37,981.38,0.0,23.69,980.64,21.67,23.53,981.52,0.0
1578164486.3590095,21.37,981.36,0.0,23.67,980.64,33.33,23.54,981.52,0.0
1578164636.3480194,23.55,981.52,0.0,23.67,980.64,33.33,23.55,981.52,0.0
1578164786.3226833,23.55,981.46,0.0,23.7,980.59,27.5,23.55,981.46,0.0
1578164936.3134675,23.55,981.49,0.0,23.65,980.67,28.33,23.55,981.49,0.0
1578165086.3197093,8.0,980.67,28.33,23.66,980.75,36.67,23.55,981.56,0.0
1578165236.2792764,21.38,981.5,0.0,23.62,980.76,37.5,23.55,981.65,0.0
1578165386.2526388,21.38,981.47,0.0,23.56,980.72,37.5,23.55,981.67,0.0
1578165536.2450163,21.38,981.55,0.0,23.56,980.72,37.5,23.54,981.62,0.0
1578165686.2452908,21.38,981.56,0.0,23.79,980.82,37.5,23.53,981.69,0.0
1578165836.2268026,21.38,981.54,0.0,23.94,980.76,37.5,23.53,981.67,0.0
1578165986.199788,21.37,981.51,0.0,24.1,980.72,37.5,23.53,981.64,0.0
1578166136.1909194,21.37,981.53,0.0,24.26,980.75,37.5,23.53,981.65,0.0
1578166286.1798744,21.37,981.53,0.0,24.36,980.75,37.5,23.53,981.66,0.0
1578166436.1395085,21.37,981.54,0.0,24.45,980.76,37.5,23.52,981.66,0.0
1578166586.14562,21.37,981.59,0.0,24.51,980.79,36.67,23.52,981.7,0.0
1578166736.1205003,21.36,981.6,0.0,24.6,980.81,37.5,23.52,981.71,0.0
1578166886.0797212,21.36,981.62,0.0,24.68,980.87,36.67,23.52,981.76,0.0
1578167036.0999463,21.36,981.74,0.0,24.71,980.97,36.67,23.51,981.85,0.0

