Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1578160848.5668724,21.17,981.1,40.0,23.92,980.34,15.83,22.48,981.24,13.33
1578161036.792674,21.07,981.05,0.0,23.64,980.29,15.83,22.3,981.22,13.33
1578161186.8490353,20.81,981.15,50.83,23.6,980.32,15.83,22.28,981.22,13.33
1578161336.7579758,20.6,981.08,50.83,23.58,980.33,15.83,22.16,981.28,13.33
1578161486.7237976,20.51,981.08,0.0,23.38,980.27,20.0,22.14,981.22,13.33
1578161636.7053642,20.42,981.12,0.0,23.36,980.4,36.67,22.14,981.24,13.33
1578161786.689701,20.39,981.18,0.0,23.14,980.47,36.67,22.12,981.28,13.33
1578161936.7013035,20.35,981.23,0.0,22.96,980.49,36.67,22.1,981.33,0.83
1578162086.6594505,20.32,981.13,0.0,22.96,980.49,36.67,22.1,981.37,0.0
1578162236.6387687,20.29,981.12,0.0,22.76,980.4,36.67,22.1,981.29,0.0
1578162386.6486173,20.28,981.15,0.0,22.72,980.41,35.0,22.1,981.27,0.0
1578162536.6079054,20.27,981.12,0.0,22.72,980.41,35.0,22.1,981.28,0.0
1578162686.5842762,20.27,981.13,0.0,22.54,980.38,0.83,22.1,981.26,0.0
1578162836.5573866,20.27,981.12,0.0,22.54,980.38,0.83,22.1,981.26,0.0
1578162986.5477989,20.28,981.13,0.0,22.38,980.36,0.83,22.1,981.26,0.0
1578163136.5216627,20.28,981.14,0.0,22.28,980.38,0.83,22.1,981.26,0.0
1578163286.5129225,20.28,981.13,0.0,22.22,980.38,0.83,22.12,981.31,0.0
1578163436.4879465,20.29,981.17,0.0,22.12,980.4,0.83,22.14,981.3,0.0
1578163586.4774613,20.3,981.09,0.0,22.08,980.35,0.83,22.14,981.32,0.0
1578163736.5150325,20.31,981.19,0.0,22.02,980.43,0.83,22.18,981.34,0.0
1578163886.4443734,20.32,981.34,0.0,22.04,980.61,0.83,22.18,981.34,0.0
1578164036.4505715,20.34,981.41,0.0,22.02,980.7,0.83,22.18,981.5,0.0
1578164186.4074516,20.33,981.36,0.0,22.02,980.7,0.83,22.18,981.57,0.0
1578164336.3817756,20.34,981.38,0.0,21.98,980.64,21.67,22.2,981.52,0.0
1578164486.3590095,20.34,981.36,0.0,21.96,980.64,33.33,22.22,981.52,0.0
1578164636.3480196,22.52,981.52,0.0,21.96,980.64,33.33,22.22,981.52,0.0
1578164786.322683,22.52,981.46,0.0,21.98,980.59,27.5,22.22,981.46,0.0
1578164936.3134675,22.52,981.49,0.0,21.94,980.67,28.33,22.22,981.49,0.0
1578165086.319709,6.97,980.67,28.33,21.94,980.75,36.67,22.22,981.56,0.0
1578165236.2792766,20.35,981.5,0.0,21.9,980.76,37.5,22.22,981.65,0.0
1578165386.2526386,20.35,981.47,0.0,21.84,980.72,37.5,22.22,981.67,0.0
1578165536.2450163,20.35,981.55,0.0,21.84,980.72,37.5,22.22,981.62,0.0
1578165686.2452908,20.35,981.56,0.0,22.08,980.82,37.5,22.2,981.69,0.0
1578165836.2268026,20.35,981.54,0.0,22.22,980.76,37.5,22.2,981.67,0.0
1578165986.199788,20.34,981.51,0.0,22.38,980.72,37.5,22.2,981.64,0.0
1578166136.1909196,20.34,981.53,0.0,22.54,980.75,37.5,22.2,981.65,0.0
1578166286.1798744,20.34,981.53,0.0,22.64,980.75,37.5,22.2,981.66,0.0
1578166436.1395085,20.34,981.54,0.0,22.74,980.76,37.5,22.2,981.66,0.0
1578166586.1456199,20.34,981.59,0.0,22.8,980.79,36.67,22.2,981.7,0.0
1578166736.1205006,20.33,981.6,0.0,22.88,980.81,37.5,22.2,981.71,0.0
1578166886.0797212,20.33,981.62,0.0,22.96,980.87,36.67,22.2,981.76,0.0
1578167036.0999465,20.33,981.74,0.0,23.0,980.97,36.67,22.18,981.85,0.0
