t,L_1,L_2,L_3
6.704805850982666,683.33,668.33,645.0
11.71175479888916,684.17,668.33,645.83
16.71286654472351,684.17,668.33,645.0
21.7141273021698,683.33,668.33,645.0
26.714112043380737,682.5,667.5,643.33
31.714287042617798,684.17,669.17,645.0
36.71545934677124,683.33,669.17,645.0
41.716808557510376,683.33,669.17,645.0
46.71251320838928,683.33,669.17,645.0
51.717801570892334,683.33,669.17,645.0
56.71941804885864,683.33,669.17,645.0
61.71080827713013,683.33,669.17,645.0
66.71994853019714,683.33,669.17,645.0
71.72049641609192,684.17,669.17,645.0
76.70908641815186,684.17,669.17,645.0
81.71403646469116,684.17,669.17,645.0
86.7242534160614,684.17,669.17,645.0
91.72490191459656,683.33,669.17,645.0
96.71236371994019,684.17,669.17,645.0
101.72673606872559,683.33,669.17,645.0
106.72754764556885,684.17,669.17,644.17
111.72802448272705,683.33,669.17,645.0
116.71666502952576,683.33,669.17,645.0
121.72172355651855,682.5,668.33,644.17
126.73063325881958,682.5,668.33,644.17
131.7305691242218,682.5,669.17,643.33
136.7313997745514,683.33,669.17,644.17
141.7328953742981,682.5,668.33,644.17
146.72891473770142,683.33,668.33,644.17
151.7182445526123,682.5,668.33,643.33
156.73371005058289,682.5,668.33,643.33
161.73564505577087,682.5,668.33,643.33
166.7321412563324,682.5,668.33,643.33
171.7367353439331,681.67,667.5,642.5
176.73832607269287,681.67,667.5,643.33
181.7292675971985,682.5,667.5,643.33
186.73641300201416,681.67,667.5,643.33
191.74062848091125,657.5,642.5,615.83
196.7407259941101,663.33,646.67,621.67
201.73470330238342,663.33,646.67,620.83
206.74313616752625,663.33,647.5,620.83
211.7415153980255,658.61,649.17,622.5
216.73294115066528,657.78,649.17,623.33
221.73791456222534,663.33,648.33,621.67
226.74576997756958,665.0,648.33,622.5
231.74682021141052,665.0,648.33,622.5
236.73615312576294,665.0,648.33,622.5
241.74795722961426,663.33,647.5,621.67
246.74819564819336,660.83,642.5,617.5
251.74920415878296,8.33,9.17,9.17
256.7500846385956,23.33,23.33,21.67
261.75143098831177,22.5,23.33,22.5
266.74829936027527,22.5,23.33,22.5
271.7525517940521,22.5,23.33,22.5
276.75439500808716,23.33,23.33,22.5
281.7455585002899,11.67,12.5,11.67
286.7527267932892,24.17,25.0,23.33
291.7557394504547,25.0,25.0,23.33
296.74389696121216,25.0,25.0,23.33
301.7570652961731,24.17,24.17,23.33
306.75513076782227,24.17,24.17,23.33
311.75846242904663,22.5,23.33,22.5
316.75965785980225,22.5,23.33,21.67
321.7532842159271,23.33,23.33,21.67
