t,L_1,L_2,L_3
6.712008714675903,20.28,19.44,19.17
11.69835638999939,15.0,14.72,14.72
16.71489906311035,251.11,244.72,236.11
21.715577363967896,485.0,473.89,455.56
26.712058305740356,723.89,706.11,679.17
31.701573610305786,720.56,703.06,676.11
36.71755862236023,721.67,703.89,676.67
41.71845245361328,719.44,701.94,674.44
46.718767404556274,717.5,700.0,672.22
51.705912351608276,715.83,698.33,670.28
56.720131397247314,714.17,696.67,668.61
61.72184371948242,712.5,695.0,667.22
66.71963167190552,710.83,693.89,665.83
71.72218036651611,709.44,692.78,664.44
76.72278141975403,708.06,691.67,663.06
81.7181293964386,706.94,690.28,661.94
86.72467970848083,705.56,688.89,660.83
91.72561430931091,699.72,683.61,655.56
96.71623182296753,694.17,678.33,650.56
101.72134041786194,689.44,673.33,645.83
106.72833251953125,615.56,630.0,596.11
111.72839593887329,475.0,500.0,480.83
116.72091579437256,475.0,499.44,479.72
121.7256212234497,550.28,542.22,528.61
126.73190832138062,692.22,671.94,643.06
131.71689820289612,692.22,671.67,642.78
136.72555446624756,688.33,669.17,641.39
141.7341227531433,457.22,445.28,427.22
146.73454117774963,227.22,222.22,213.61
151.72221612930298,0.56,0.83,0.83
156.7344515323639,5.0,0.83,1.39
161.73669004440308,219.17,214.17,216.39
166.73603224754333,434.17,429.44,431.67
171.72542142868042,643.06,643.06,644.72
176.73911118507385,647.22,650.0,643.33
181.74057531356812,645.56,648.33,641.67
186.7393193244934,576.67,578.89,572.22
191.74232482910156,360.56,361.11,361.11
196.7423541545868,146.67,147.22,147.22
201.7366590499878,10.0,10.56,10.56
206.7435760498047,7.78,8.06,8.06
211.74479460716248,7.78,8.33,8.33
216.7347366809845,0.0,0.83,0.83
221.7419400215149,0.0,0.83,0.83
226.74707746505737,0.0,0.83,0.83
