t,L_1,L_2,L_3
2.713404893875122,673.33,673.33,640.0
3.7153313159942627,673.33,677.5,647.5
4.716670513153076,673.33,677.5,647.5
5.718699216842651,673.33,676.67,646.67
6.720028638839722,673.33,676.67,646.67
7.7217419147491455,673.33,676.67,646.67
8.723156690597534,673.33,676.67,646.67
9.725163221359253,673.33,677.5,647.5
10.726494073867798,673.33,677.5,647.5
11.728784561157227,673.33,677.5,647.5
12.72997784614563,673.33,677.5,647.5
13.732282161712646,673.33,677.5,647.5
14.733636379241943,673.33,676.67,646.67
15.736364841461182,673.33,676.67,646.67
16.736674070358276,674.17,677.5,647.5
17.73937964439392,673.33,677.5,647.5
18.74005150794983,673.33,677.5,647.5
19.74330472946167,674.17,677.5,647.5
20.743568897247314,674.17,677.5,647.5
21.746269464492798,674.17,677.5,647.5
22.74735379219055,673.33,677.5,647.5
23.749858617782593,673.33,677.5,647.5
24.75103998184204,673.33,677.5,647.5
25.75348472595215,674.17,677.5,647.5
27.39900255203247,673.33,677.5,647.5
27.756126165390015,674.17,677.5,647.5
28.757569551467896,674.17,677.5,647.5
29.759895086288452,674.17,677.5,647.5
30.76176905632019,673.33,677.5,647.5
31.763363122940063,673.33,677.5,647.5
32.765480518341064,673.33,677.5,647.5
33.76761722564697,673.33,676.67,646.67
34.770626068115234,674.17,677.5,647.5
35.77257466316223,674.17,677.5,647.5
36.77530860900879,674.17,677.5,647.5
37.7764835357666,674.17,677.5,647.5
38.779632568359375,673.33,677.5,647.5
39.78122329711914,673.33,677.5,647.5
40.78403401374817,673.33,677.5,647.5
41.786216020584106,674.17,677.5,647.5
42.78859901428223,673.33,677.5,646.67
43.790316581726074,673.33,677.5,647.5
44.79265785217285,674.17,677.5,647.5
45.79400420188904,674.17,677.5,647.5
46.79664444923401,674.17,677.5,647.5
47.797152042388916,674.17,677.5,647.5
48.79919672012329,674.17,677.5,647.5
49.80137014389038,673.33,677.5,647.5
50.8032431602478,674.17,677.5,647.5
51.80442214012146,673.33,677.5,647.5
52.80670166015625,674.17,677.5,647.5
53.80736565589905,674.17,677.5,647.5
54.80945587158203,674.17,677.5,646.67
55.81123375892639,673.33,677.5,647.5
56.8131206035614,673.33,677.5,647.5
57.81486678123474,673.33,676.67,646.67
58.81705641746521,674.17,677.5,647.5
