t,L_1,L_2,L_3
2.713522434234619,108.33,120.42,122.92
3.715318202972412,110.0,110.0,112.08
4.716369390487671,106.67,106.67,106.67
5.718273162841797,0.83,100.83,101.25
6.719794034957886,94.17,93.33,95.83
7.722036600112915,85.83,82.5,92.5
8.723282098770142,83.75,80.0,90.42
9.725438356399536,80.0,90.0,90.0
10.72711968421936,80.42,90.42,90.42
11.728618621826172,83.33,80.0,90.42
12.730038166046143,81.67,88.33,88.75
13.732203722000122,87.08,87.08,87.08
14.733872413635254,86.67,86.67,86.67
15.73571491241455,86.67,86.67,86.67
16.736908674240112,86.67,86.67,86.67
17.734347105026245,84.58,82.08,86.25
18.740088939666748,84.58,82.08,86.25
19.742675065994263,84.58,81.67,86.25
20.744158029556274,84.58,81.25,86.25
21.746551990509033,86.67,86.67,86.67
22.74697709083557,86.67,86.67,86.67
23.749788999557495,84.17,81.67,86.25
24.750849962234497,84.17,81.67,85.83
25.753280878067017,84.17,80.83,85.83
26.754247188568115,84.17,81.25,86.25
27.756152153015137,84.17,81.25,86.25
28.757715940475464,84.17,81.67,86.25
29.760481119155884,84.17,81.67,86.25
30.760997772216797,84.17,81.67,86.25
31.76311731338501,84.17,81.67,86.25
32.76519560813904,84.58,81.67,86.25
33.767990827560425,86.67,86.67,86.67
34.76972246170044,84.58,82.08,86.25
35.77230501174927,84.58,82.5,86.25
36.775174140930176,86.67,86.67,86.67
37.776630878448486,86.67,86.67,86.67
38.77879810333252,86.67,86.67,86.67
39.78105616569519,85.0,82.08,86.25
40.78377151489258,84.58,82.08,86.25
41.78555631637573,84.58,82.08,86.25
42.78869915008545,86.67,88.75,86.67
43.790356397628784,92.08,86.67,86.67
44.78165245056152,86.67,86.67,86.67
45.78978681564331,86.67,86.67,86.67
46.79633450508118,86.67,86.67,86.67
47.7970654964447,86.67,86.67,86.67
48.79923629760742,86.67,86.67,87.08
49.800230503082275,91.67,86.67,87.08
50.80338430404663,86.67,86.67,86.67
51.80399703979492,92.08,86.67,86.67
52.806795597076416,87.08,87.08,87.08
53.80773687362671,87.08,86.67,87.08
54.81109166145325,86.67,86.67,87.08
55.81112623214722,86.67,86.67,87.08
56.81382346153259,92.92,86.67,87.5
57.81422829627991,80.0,87.08,87.92
58.81666278839111,87.92,87.08,87.92
59.81804418563843,92.92,90.42,87.92
60.82064127922058,93.33,86.67,88.33
61.82198143005371,93.75,86.67,88.75
62.824098348617554,80.42,87.5,89.17
63.82569241523743,94.17,87.08,88.75
64.8270537853241,93.75,88.33,89.17
65.82849764823914,81.67,88.33,89.58
66.83092212677002,80.0,90.0,90.0
67.83234810829163,95.42,92.5,90.0
68.8339319229126,95.42,92.5,90.0
69.83536171913147,80.0,90.0,90.0
70.83777809143066,80.0,90.0,90.0
71.83913135528564,80.83,90.83,90.83
72.84138035774231,96.25,92.92,90.83
73.84333920478821,83.33,94.58,92.5
74.84576106071472,96.67,93.75,97.08
75.84771299362183,94.58,93.75,97.92
76.8500463962555,94.17,93.33,97.5
77.85300874710083,97.08,93.33,97.92
78.85497951507568,104.58,101.67,99.17
79.85716247558594,93.33,94.17,94.58
80.85947799682617,89.17,81.67,81.67
81.86116886138916,79.58,73.33,75.83
82.86407232284546,77.5,73.33,73.33
83.86553072929382,77.92,75.83,73.33
84.86850142478943,78.33,77.08,75.83
85.8698182106018,75.0,76.67,75.0
86.87170481681824,78.75,76.67,75.42
87.87376403808594,79.17,73.33,75.83
88.87485551834106,80.42,76.67,77.92
89.8774881362915,53.33,79.17,77.08
90.87797451019287,56.67,81.25,79.17
91.88086366653442,80.0,84.58,84.58
92.88191103935242,81.25,91.67,89.58
93.88351440429688,85.0,81.67,92.5
94.8856885433197,102.5,94.17,94.17
95.88786101341248,102.5,95.0,95.83
96.88877511024475,103.33,99.58,96.67
97.89115452766418,95.42,99.17,95.42
98.89171314239502,100.83,97.08,93.75
99.89502787590027,99.17,82.5,92.92
100.89565443992615,97.08,93.33,90.0
101.89826989173889,91.25,80.0,82.08
