t,L_1,L_2,L_3
2.7128281593322754,446.67,527.5,494.17
3.7154736518859863,440.0,526.67,493.33
4.717264413833618,440.0,526.67,493.33
5.718748569488525,440.0,526.67,486.67
6.720024347305298,440.0,526.67,486.67
7.722161769866943,445.0,525.83,485.0
8.724067211151123,443.33,525.0,485.0
9.72630786895752,443.33,525.0,485.0
10.72700047492981,443.33,525.0,485.0
11.729641437530518,444.17,524.17,483.33
12.730395793914795,443.33,524.17,484.17
13.733095645904541,443.33,524.17,483.33
14.734883546829224,440.0,523.33,483.33
15.735732555389404,440.0,523.33,483.33
16.73761558532715,442.5,522.5,480.0
17.74022364616394,441.67,522.5,482.5
18.741206645965576,441.67,522.5,482.5
19.74291729927063,441.67,522.5,482.5
20.74394655227661,440.0,521.67,481.67
21.7461678981781,440.0,521.67,481.67
22.748381853103638,440.0,520.83,480.0
23.75051712989807,440.0,520.83,480.83
24.751488208770752,440.0,520.83,480.83
25.75411868095398,440.0,520.83,480.83
26.754619359970093,440.0,520.0,480.0
27.757078886032104,426.67,520.0,480.0
28.75813341140747,438.33,519.17,486.67
29.76054358482361,438.33,519.17,485.83
30.76136040687561,438.33,518.33,485.0
31.76444125175476,438.33,518.33,485.0
32.76610064506531,438.33,518.33,485.0
33.76890826225281,436.67,518.33,485.0
34.7704803943634,436.67,518.33,485.0
35.77326846122742,437.5,517.5,483.33
36.77491235733032,436.67,517.5,483.33
37.77731275558472,436.67,517.5,483.33
38.779258489608765,437.5,517.5,483.33
39.78202819824219,436.67,516.67,483.33
40.78395342826843,433.33,516.67,483.33
41.78691864013672,436.67,516.67,483.33
42.788758754730225,433.33,516.67,483.33
43.7905433177948,435.83,515.83,480.0
44.793779611587524,435.0,515.0,481.67
45.79429578781128,433.33,515.0,481.67
46.79703950881958,434.17,514.17,480.83
47.798057556152344,434.17,514.17,480.83
48.800328731536865,434.17,514.17,480.0
49.80162310600281,433.33,514.17,480.0
50.80357766151428,433.33,514.17,480.83
51.804824352264404,426.67,513.33,480.0
52.807663679122925,426.67,513.33,480.0
53.808574199676514,426.67,513.33,480.0
54.811057806015015,432.5,512.5,480.83
55.81137180328369,431.67,512.5,480.83
56.814048051834106,432.5,512.5,480.0
57.814560413360596,431.67,512.5,480.0
58.81719660758972,431.67,511.67,480.0
59.8183970451355,429.17,509.17,454.17
60.82046341896057,426.67,506.67,453.33
61.82248520851135,430.0,511.67,480.0
62.82376837730408,431.67,512.5,480.83
63.8257954120636,432.5,512.5,480.83
64.82771682739258,431.67,512.5,480.0
65.82887649536133,431.67,511.67,480.0
66.8306896686554,430.0,511.67,480.0
67.83267307281494,431.67,511.67,480.0
68.83413410186768,430.0,511.67,480.0
69.8359911441803,430.0,511.67,480.0
70.83845448493958,430.83,510.83,480.0
71.8397569656372,430.83,510.83,480.0
72.8411636352539,430.0,510.83,480.0
73.84408235549927,430.0,510.0,480.0
74.84572887420654,430.0,510.0,480.0
75.84785676002502,430.0,510.0,480.0
76.85082983970642,430.0,510.0,456.67
77.85248231887817,426.67,510.0,456.67
78.85447454452515,429.17,509.17,455.0
79.85757040977478,429.17,509.17,455.0
80.85927486419678,429.17,509.17,455.0
81.86207962036133,428.33,509.17,455.0
82.86415028572083,428.33,508.33,453.33
83.86605405807495,428.33,508.33,453.33
84.86879086494446,428.33,508.33,453.33
85.87076187133789,426.67,508.33,453.33
86.87260389328003,427.5,507.5,453.33
87.87384605407715,426.67,507.5,454.17
88.87553834915161,426.67,506.67,453.33
89.87757611274719,503.33,504.17,446.67
90.87841701507568,505.0,505.83,449.17
91.88134455680847,426.67,505.83,448.33
92.88230538368225,426.67,505.83,448.33
93.88462233543396,495.0,502.5,441.67
94.88546061515808,500.0,500.83,440.0
95.8882098197937,503.33,504.17,446.67
96.88923048973083,496.67,504.17,446.67
97.89100456237793,500.0,500.83,440.83
98.8923089504242,500.0,500.0,440.0
99.89528965950012,500.83,504.17,446.67
100.89567542076111,500.0,503.33,443.33
101.89850997924805,500.83,502.5,441.67
102.89977359771729,500.0,501.67,440.0
103.90141248703003,500.0,501.67,440.0
104.9028902053833,500.0,501.67,440.0
105.90595698356628,500.0,501.67,441.67
106.90647983551025,500.0,501.67,440.0
107.90881633758545,500.0,501.67,440.0
108.90971732139587,500.0,500.83,440.0
109.91235899925232,500.0,500.83,440.0
110.91307759284973,493.33,500.0,440.0
111.91539788246155,493.33,500.0,440.0
112.91621088981628,493.33,500.0,440.0
113.91871213912964,493.33,500.0,440.0
114.92078280448914,493.33,500.0,440.0
115.92336440086365,493.33,500.0,440.0
116.92541432380676,493.33,500.0,440.0
117.92831325531006,493.33,500.0,440.0
118.93042635917664,493.33,500.0,440.0
119.93298053741455,493.33,500.0,440.0
120.93485116958618,493.33,500.0,440.0
121.93690395355225,498.33,499.17,442.5
122.93960380554199,498.33,499.17,442.5
123.94163846969604,498.33,499.17,442.5
124.94380044937134,497.5,499.17,441.67
125.94599461555481,496.67,498.33,440.0
126.94861578941345,496.67,498.33,440.0
127.94943714141846,496.67,497.5,440.83
128.95227766036987,496.67,497.5,440.83
129.95266270637512,496.67,497.5,440.83
130.95548105239868,496.67,497.5,440.83
131.9565625190735,496.67,497.5,440.83
